;TickerID|52WeeksHigh|52WeeksLow|sysdate=20130201|Symbol|LongName|FirstDate|Remark|ForeignAvail|PrevNvol
PTT06C2102A| | | | | | | |0|0
TSC-F| | | | | | | |0|0
NEW01-W| | | | | | | |0|0
GHB55/16/9Y| | | | | | | |0|0
NRF-W1-R| | | | | | | |0|2977600
NEW01-R| | | | | | | |0|0
NEW01-Q| | | | | | | |0|0
NEW01-P| | | | | | | |0|0
TMB28C1912A| | | | | | | |0|0
TLOAN50/08/5.67Y| | | | | | | |0|0
DTAC41C1908A| | | | | | | |0|0
CENT13C1911A| | | | | | | |0|0
STEC13C2101A| | | | | | | |0|0
BCP01C2105A| | | | | | | |0|0
NEW01-F| | | | | | | |0|0
KTC13C1906A| | | | | | | |0|0
OR41C2105A| | | | | | | |0|0
CPAL06C2104A| | | | | | | |0|0
TMB28C1911A| | | | | | | |0|0
BDMS41P2011A| | | | | | | |0|0
PTT01P2110A| | | | | | | |0|1825600
KTB11C2006A| | | | | | | |0|0
TOP16C2008A| | | | | | | |0|0
PTTG28C2006A| | | | | | | |0|0
AJA-R| | | | | | | |0|26808500
DTAC13C1904A| | | | | | | |0|0
WHA01C2005B| | | | | | | |0|0
WHA01C2005A| | | | | | | |0|0
PTTE08C2011A| | | | | | | |0|0
CENT41C1912A| | | | | | | |0|0
TKN13C1909A| | | | | | | |0|0
AJA-F| | | | | | | |0|0
DTAC41C1906A| | | | | | | |0|0
PTG19P2107A| | | | | | | |0|0
BANP19P1910A| | | | | | | |0|0
BGRI01C2109A| | | | | | | |0|28909200
APCS-R| | | | | | | |0|3108100
GULF03C2005A| | | | | | | |0|0
PTTE42C1910A| | | | | | | |0|0
JMT08C2105A| | | | | | | |0|0
RATC42C2006A| | | | | | | |0|0
BEC41C2003A| | | | | | | |0|0
TKN13C1908A| | | | | | | |0|0
STAR| | | | | | | |93792883|880500
CHG28C1904A| | | | | | | |0|0
NUSA| | | | | | | |3766474507|9192900
CPAL06C2102A| | | | | | | |0|0
APCS-F| | | | | | | |0|0
TISC42C2003A| | | | | | | |0|0
BTS01C1903B| | | | | | | |0|0
BTS01C1903A| | | | | | | |0|0
KTB11C2004A| | | | | | | |0|0
KTC-R| | | | | | | |0|20449900
BIG24C1812A| | | | | | | |0|0
BGRI01C2108A| | | | | | | |0|43000
KTC13C1903A| | | | | | | |0|0
SIRI19C2011A| | | | | | | |0|0
DTAC13C1902A| | | | | | | |0|0
BCH41C2001A| | | | | | | |0|0
SRT55/17/7Y| | | | | | | |0|0
ESTAR| | | | | | | |2425055949|11858300
BEC41C2002A| | | | | | | |0|0
KTC-F| | | | | | | |0|0
BBL06P2004A| | | | | | | |0|0
TTW-R| | | | | | | |0|9937700
BTNC-R| | | | | | | |0|5700
RS16C2005A| | | | | | | |0|0
BJC19P2012A| | | | | | | |0|0
CPF06C2106A| | | | | | | |0|0
SCC13P2009A| | | | | | | |0|0
MINT28C1904A| | | | | | | |0|0
TTW-F| | | | | | | |0|0
BTNC-F| | | | | | | |0|0
PTTG28C2003A| | | | | | | |0|0
BGRI01C2107A| | | | | | | |0|200
CPAL01P2110A| | | | | | | |0|2438200
GGC19C1906A| | | | | | | |0|0
AP-R| | | | | | | |0|24255600
CHAROEN POKPHAND FOODS| | | | | | | |0|0
CPAL42C1910A| | | | | | | |0|0
MANRIN-R| | | | | | | |0|100
WHA01C2002B| | | | | | | |0|0
JAS13C2110A| | | | | | | |0|23811900
WHA01C2002A| | | | | | | |0|0
SAWA01C2109X| | | | | | | |0|3068900
BEC41C2001A| | | | | | | |0|0
TU08C2011A| | | | | | | |0|0
ADVA11C2110A| | | | | | | |0|6072300
TKN13C1906A| | | | | | | |0|0
BGRI01C2106T| | | | | | | |0|368000
SIMAT-W2-R| | | | | | | |0|0
CHG28C1902A| | | | | | | |0|0
AP-F| | | | | | | |0|0
BANP11C2008A| | | | | | | |0|0
TRUE08P2010A| | | | | | | |0|0
MANRIN-F| | | | | | | |0|0
MINT28C1903A| | | | | | | |0|0
PTTG28C2002A| | | | | | | |0|0
SAWA01C2109A| | | | | | | |0|12603000
TU01P2110A| | | | | | | |0|5793100
LB27DA| | | | | | | |0|0
KBAN41P2101C| | | | | | | |0|0
KBAN41P2101B| | | | | | | |0|0
TASC19P2012C| | | | | | | |0|0
TASC19P2012B| | | | | | | |0|0
TASC19P2012A| | | | | | | |0|0
SAMART_FUT| | | | | | | |0|0
RATC42C2003A| | | | | | | |0|0
INTU41C2012A| | | | | | | |0|0
VPO-R| | | | | | | |0|255051800
TTW19C2108A| | | | | | | |0|2000
TKN13C1905A| | | | | | | |0|0
SAWA01C2108T| | | | | | | |0|9755900
KTC41C2109A| | | | | | | |0|7354500
BAM19C2110A| | | | | | | |0|78885700
TNPF| | | | | | | |68090547|4200
BCH19C2111A| | | | | | | |0|41801800
TNPC| | | | | | | |110160976|52165000
VPO-F| | | | | | | |0|0
KKP27P1908A| | | | | | | |0|0
LB326A| | | | | | | |0|0
PTTG28C2001A| | | | | | | |0|0
PTG27P1910A| | | | | | | |0|0
EGCO13C2110A| | | | | | | |0|23570200
GGLB226A| | | | | | | |0|0
SAWA01C2108A| | | | | | | |0|408700
BGRI01C2105A| | | | | | | |0|0
SCB13C2009A| | | | | | | |0|0
TISC19C1908A| | | | | | | |0|0
SAM-R| | | | | | | |0|82877600
JMT08C2101A| | | | | | | |0|0
ADVA19C2108A| | | | | | | |0|8019600
TASC19P2011A| | | | | | | |0|0
IVL08P2004A| | | | | | | |0|0
TKN13C1904B| | | | | | | |0|0
SGF-R| | | | | | | |0|19794700
TKN13C1904A| | | | | | | |0|0
KTC41C2108A| | | | | | | |0|2575200
JCT| | | | | | | |6525950|0
EXAT55/03/3Y| | | | | | | |0|0
ARROW-R| | | | | | | |0|248200
SAM-F| | | | | | | |0|0
BCPG28C2012C| | | | | | | |0|0
BCPG28C2012B| | | | | | | |0|0
CPN24C2011A| | | | | | | |0|0
BCH19C2110A| | | | | | | |0|8293400
PTT41C1906A| | | | | | | |0|0
BCPG28C2012A| | | | | | | |0|0
TEAMG| | | | | | | |333109900|3550200
SCC13P2006A| | | | | | | |0|0
JCK| | | | | | | |561211913|9303300
KTC24C2001A| | | | | | | |0|0
SGF-F| | | | | | | |0|0
JAS41C2110A| | | | | | | |0|13726400
ARROW-F| | | | | | | |0|0
NEP-W3-R| | | | | | | |0|0
SAWA01C2107A| | | | | | | |0|2200
SCB13C2008A| | | | | | | |0|0
ACE28C2110A| | | | | | | |0|2190400
BGRI27C2101A| | | | | | | |0|0
INTU42P1904A| | | | | | | |0|0
SVI-W3-R| | | | | | | |0|0
AMAT19C2012A| | | | | | | |0|0
ADVA19C2107A| | | | | | | |0|0
TASC19P2010A| | | | | | | |0|0
IVL08P2003A| | | | | | | |0|0
INTU41C2010A| | | | | | | |0|0
TKN13C1903A| | | | | | | |0|0
RS16C2001A| | | | | | | |0|0
CPF06C2102A| | | | | | | |0|0
RS13C1912A| | | | | | | |0|0
KCE_FUT| | | | | | | |0|0
TPS-R| | | | | | | |0|1721700
TFI-W1-R| | | | | | | |0|4023000
TOP16C2001A| | | | | | | |0|0
AP13C2111A| | | | | | | |0|6052300
PTG19P2101A| | | | | | | |0|0
MINT41C2007A| | | | | | | |0|0
SCB28C2108L| | | | | | | |0|0
S5013C1909F| | | | | | | |0|0
S5013C1909E| | | | | | | |0|0
S5013C1909D| | | | | | | |0|0
GGC19C1902A| | | | | | | |0|0
SCB13C2007A| | | | | | | |0|0
S5013C1909C| | | | | | | |0|0
TISC19C1906A| | | | | | | |0|0
S5013C1909B| | | | | | | |0|0
TPS-F| | | | | | | |0|0
S5013C1909A| | | | | | | |0|0
AMAT19C2011A| | | | | | | |0|0
ADVA19C2106A| | | | | | | |0|0
SPRC07C1903A| | | | | | | |0|0
PROUD| | | | | | | |314318258|940600
JAS| | | | | | | |3899165329|44338100
BANP11C2004A| | | | | | | |0|0
BBL11C2110A| | | | | | | |0|1164200
SPCG_FUT| | | | | | | |0|0
JAK| | | | | | | |141800000|6312800
UPOIC-R| | | | | | | |0|24200
ETA50/02/6Y| | | | | | | |0|0
TMB41C2010A| | | | | | | |0|0
WHA19P2108A| | | | | | | |0|3499700
TU24C1909A| | | | | | | |0|0
PTTE24C1906A| | | | | | | |0|0
DOHO11C2106A| | | | | | | |0|0
SCB13C2006B| | | | | | | |0|0
SAWA01C2105A| | | | | | | |0|0
BGRI01C2102A| | | | | | | |0|0
EIC-W3-R| | | | | | | |0|0
SCB13C2006A| | | | | | | |0|0
UPOIC-F| | | | | | | |0|0
ADVA27C1912A| | | | | | | |0|0
WHA06C1908A| | | | | | | |0|0
CHG19C1911A| | | | | | | |0|0
HANA13C2109A| | | | | | | |0|1417100
JMART-W2-R| | | | | | | |0|0
KKP01P1907A| | | | | | | |0|0
CK06C2009A| | | | | | | |0|0
GUNK08C1912A| | | | | | | |0|0
MAJO24C1902A| | | | | | | |0|0
PLAN11C2108A| | | | | | | |0|8000
MINT41C2005A| | | | | | | |0|0
SAMART-R| | | | | | | |0|7915700
OSP06C2011A| | | | | | | |0|0
CK13C2110A| | | | | | | |0|7716200
TKN24C2002A| | | | | | | |0|0
HANA19C1910A| | | | | | | |0|0
ADVA19C2104A| | | | | | | |0|0
ESSO19P2012A| | | | | | | |0|0
SCB28C2106A| | | | | | | |0|0
NOK-R| | | | | | | |0|36119400
SAMART-F| | | | | | | |0|0
SAWA01C2103T| | | | | | | |0|0
S5041C1909G| | | | | | | |0|0
S5041C1909F| | | | | | | |0|0
S5041C1909D| | | | | | | |0|0
